线性规划与网络流24题,,,
作者,BYVoid,http://www.byvoid.com,
问题编号,问题名称,问题模型,转化模型
1,飞行员配对方案问题,二分图最大匹配,网络最大流
2,太空飞行计划问题,最大权闭合图,网络最小割
3,最小路径覆盖问题,有向无环图最小路径覆盖,网络最大流
4,魔术球问题,有向无环图最小路径覆盖,网络最大流
5,圆桌问题,二分图多重匹配,网络最大流
6,最长递增子序列问题,最多不相交路径,网络最大流
7,试题库问题,二分图多重匹配,网络最大流
8,机器人路径规划问题,(未解决),最小费用最大流
9,方格取数问题,二分图点权最大独立集,网络最小割
10,餐巾计划问题,线性规划网络优化,最小费用最大流
11,航空路线问题,最长不相交路径,最小费用最大流
12,软件补丁问题,最小转移代价,最短路径
13,星际转移问题,网络判定,网络最大流
14,孤岛营救问题,分层图最短路径,最短路径
15,汽车加油行驶问题,分层图最短路径,最短路径
16,数字梯形问题,最大权不相交路径,最小费用最大流
17,运输问题,网络费用流量,最小费用最大流
18,分配问题,二分图最佳匹配,最小费用最大流
19,负载平衡问题,最小代价供求,最小费用最大流
20,深海机器人问题,线性规划网络优化,最小费用最大流
21,最长k可重区间集问题,最大权不相交路径,最小费用最大流
22,最长k可重线段集问题,最大权不相交路径,最小费用最大流
23,火星探险问题,线性规划网络优化,最小费用最大流
24,骑士共存问题,二分图最大独立集,网络最小割
